Code,Class,NMO,DIT,Smell
"public class Vehicle {
    public void start() {}
    public void stop() {}
    public void honk() {}
}

public class Car extends Vehicle {
    @Override
    public void start() {}
    public void honk() {}
}

public class Bicycle extends Car {
    public void start() {}
    public void safae(){}
}",Vehicle,0,1,0
"public class Vehicle {
    public void start() {}
    public void stop() {}
    public void honk() {}
}

public class Car extends Vehicle {
    @Override
    public void start() {}
    public void honk() {}
}

public class Bicycle extends Car {
    public void start() {}
    public void safae(){}
}",Car,2,2,1
"public class Vehicle {
    public void start() {}
    public void stop() {}
    public void honk() {}
}

public class Car extends Vehicle {
    @Override
    public void start() {}
    public void honk() {}
}

public class Bicycle extends Car {
    public void start() {}
    public void safae(){}
}",Bicycle,1,3,1
"class Animal {
    void sound() {
        System.out.println(""Animal sound"");
    }
}

class Dog extends Animal {
    @Override
    void sound() {
        System.out.println(""Dog barks"");
    }
}

class Bulldog extends Dog {
    @Override
    void sound() {
        System.out.println(""Bulldog barks loudly"");
    }
}",Animal,0,1,0
"class Animal {
    void sound() {
        System.out.println(""Animal sound"");
    }
}

class Dog extends Animal {
    @Override
    void sound() {
        System.out.println(""Dog barks"");
    }
}

class Bulldog extends Dog {
    @Override
    void sound() {
        System.out.println(""Bulldog barks loudly"");
    }
}",Dog,1,2,1
"class Animal {
    void sound() {
        System.out.println(""Animal sound"");
    }
}

class Dog extends Animal {
    @Override
    void sound() {
        System.out.println(""Dog barks"");
    }
}

class Bulldog extends Dog {
    @Override
    void sound() {
        System.out.println(""Bulldog barks loudly"");
    }
}",Bulldog,1,3,1
"class Animal {
    void sound() {
        System.out.println(""Animal sound"");
    }
}

class Dog extends Animal {
    @Override
    void sound() {
        System.out.println(""Dog barks"");
    }
}

class Bulldog extends Animal {
    @Override
    void sound() {
        System.out.println(""Bulldog barks loudly"");
    }
}",Bulldog,1,2,1
"class Vehicle {
    void start() {
        System.out.println(""Vehicle starts"");
    }
}

class Car extends Vehicle {
    @Override
    void start() {
        System.out.println(""Car starts"");
    }
}",Vehicle,0,1,0
"class Vehicle {
    void start() {
        System.out.println(""Vehicle starts"");
    }
}

class Car extends Vehicle {
    @Override
    void start() {
        System.out.println(""Car starts"");
    }
}",Car,1,2,1
"class Vehicles {
    void start() {
        System.out.println(""Vehicle starts"");
    }
}

class Car extends Vehicles {
    @Override
    void start() {
        System.out.println(""Car starts"");
    }
}

class ElectricCar extends Car {
    @Override
    void start() {
        System.out.println(""Electric car starts quietly"");
    }
}",Vehicles,0,1,0
"class Vehicles {
    void start() {
        System.out.println(""Vehicle starts"");
    }
}

class Car extends Vehicles {
    @Override
    void start() {
        System.out.println(""Car starts"");
    }
}

class ElectricCar extends Car {
    @Override
    void start() {
        System.out.println(""Electric car starts quietly"");
    }
}",Car,1,2,1
"class Vehicles {
    void start() {
        System.out.println(""Vehicle starts"");
    }
}

class Car extends Vehicles {
    @Override
    void start() {
        System.out.println(""Car starts"");
    }
}

class ElectricCar extends Car {
    @Override
    void start() {
        System.out.println(""Electric car starts quietly"");
    }
}",ElectricCar,1,3,1
"class Human{
    void work() {
        System.out.println(""Human working"");
    }
}",Human,0,1,0
"class Human{
    void work() {
        System.out.println(""Human working"");
    }
}
class Robot extends Human{
    void notWork() {
        System.out.println(""Robot is not working"");
    }
}",Robot,0,2,1
"class Shape {
    void draw() {
        System.out.println(""Drawing shape"");
    }
}

class Circle extends Shape {
    @Override
    void draw() {
        System.out.println(""Drawing circle"");
    }
}

class ColoredCircle extends Circle {
    @Override
    void draw() {
        System.out.println(""Drawing colored circle"");
    }
}",Shape,0,1,0
"class Shape {
    void draw() {
        System.out.println(""Drawing shape"");
    }
}

class Circle extends Shape {
    @Override
    void draw() {
        System.out.println(""Drawing circle"");
    }
}

class ColoredCircle extends Circle {
    @Override
    void draw() {
        System.out.println(""Drawing colored circle"");
    }
}",Circle,1,2,1
"class Shape {
    void draw() {
        System.out.println(""Drawing shape"");
    }
}

class Circle extends Shape {
    @Override
    void draw() {
        System.out.println(""Drawing circle"");
    }
}

class ColoredCircle extends Circle {
    @Override
    void draw() {
        System.out.println(""Drawing colored circle"");
    }
}",ColoredCircle,1,3,1
"class Appliance {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
}

class WashingMachine extends Appliance {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
}

class SmartWashingMachine extends WashingMachine {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",Appliance,0,1,0
"class Appliance {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
}

class WashingMachine extends Appliance {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
}

class SmartWashingMachine extends WashingMachine {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",WashingMachine,1,2,1
"class Appliance {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
}

class WashingMachine extends Appliance {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
}

class SmartWashingMachine extends WashingMachine {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",SmartWashingMachine,1,3,1
"class Appliance {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
    void turnOff() {
        System.out.println(""Appliance is off"");
    }
}

class WashingMachine extends Appliance {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
    @Override
    void turnOff() {
        System.out.println(""Washing machine is off"");
    }
}

class SmartWashingMachine extends WashingMachine {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",Appliance,0,1,0
"class Appliance {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
    void turnOff() {
        System.out.println(""Appliance is off"");
    }
}

class WashingMachine extends Appliance {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
    @Override
    void turnOff() {
        System.out.println(""Washing machine is off"");
    }
}

class SmartWashingMachine extends WashingMachine {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",WashingMachine,2,2,1
"class Appliance {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
    void turnOff() {
        System.out.println(""Appliance is off"");
    }
}

class WashingMachine extends Appliance {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
    @Override
    void turnOff() {
        System.out.println(""Washing machine is off"");
    }
}

class SmartWashingMachine extends WashingMachine {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",SmartWashingMachine,1,3,1
"class Light {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
    void turnOff() {
        System.out.println(""Appliance is off"");
    }
}

class LedLight extends Light {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
    @Override
    void turnOff() {
        System.out.println(""Washing machine is off"");
    }
}

class SmartLedLight extends LedLight {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",Light,0,1,0
"class Light {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
    void turnOff() {
        System.out.println(""Appliance is off"");
    }
}

class LedLight extends Light {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
    @Override
    void turnOff() {
        System.out.println(""Washing machine is off"");
    }
}

class SmartLedLight extends LedLight {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",LedLight,2,2,1
"class Light {
    void turnOn() {
        System.out.println(""Appliance is on"");
    }
    void turnOff() {
        System.out.println(""Appliance is off"");
    }
}

class LedLight extends Light {
    @Override
    void turnOn() {
        System.out.println(""Washing machine is on"");
    }
    @Override
    void turnOff() {
        System.out.println(""Washing machine is off"");
    }
}

class SmartLedLight extends LedLight {
    @Override
    void turnOn() {
        System.out.println(""Smart washing machine is on"");
    }
}",SmartLedLight,1,3,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    @Override
    void taste() {
        System.out.println(""Apple tastes sweet"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
}",Fruit,0,1,0
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    @Override
    void taste() {
        System.out.println(""Apple tastes sweet"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
}",Apple,1,2,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    @Override
    void taste() {
        System.out.println(""Apple tastes sweet"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
}",GreenApple,1,3,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    @Override
    void taste() {
        System.out.println(""Apple tastes sweet"");
    }
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
    @Override
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
   
}",Fruit,0,1,0
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    @Override
    void taste() {
        System.out.println(""Apple tastes sweet"");
    }
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
    @Override
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
   
}",Apple,1,2,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    @Override
    void taste() {
        System.out.println(""Apple tastes sweet"");
    }
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
    @Override
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
   
}",GreenApple,2,3,1
"class Fruit {
    void taste() {
        System.out.println(""Fruit taste"");
    }
}

class Apple extends Fruit {
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
}

class GreenApple extends Apple {
    @Override
    void taste() {
        System.out.println(""Green apple tastes sour"");
    }
    @Override
    void NoTaste() {
        System.out.println(""Fruit not taste"");
    }
   
}",Fruit,0,1,0
