Code,Smell
"public void CodeCheck(){
        if (n == JOptionPane.YES_OPTION) {
            sound_button.playsound();
            save_file save_file = new save_file();
            save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
        }
        // save as pdf
        else {
            sound_button.playsound();
        }
        for(int i=0;i<10;i++){
            System.out.println(i);
        }
        if (result_textarea.getText().length() > 0) {
            //write file name and choose directory
            save_filename = JOptionPane.showInputDialog(""Write New File Name"");
            savefile = new JFileChooser();
            savefile.setDialogTitle(""Choose Directory"");
            savefile.setSelectedFile(new File(save_filename));
            int sf = savefile.showSaveDialog(null);
            if (sf == JFileChooser.APPROVE_OPTION) {
                sound_button.playsound();
                // choose the file format
                try {
                    Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                    Object defaultChoice = choices[0];
                    int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                    // save as docx
                    if (n == JOptionPane.YES_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // save as pdf
                    else if (n == JOptionPane.NO_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // cancel
                    else {
                        sound_button.playsound();
                    }
                } catch (Exception ee) {
                    JOptionPane.showMessageDialog(null, ee);
                }
            } else {
                sound_button.playsound();
            }
        }
        // If there is no text in JTextArea. Warning Message .
        else{
            Object[] options = {""Ok""};
            int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
            if (n == JOptionPane.OK_OPTION) {
                sound_button.playsound();
            }
            if (n == JOptionPane.YES_OPTION) {
                sound_button.playsound();
                save_file save_file = new save_file();
                save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
            }
            // save as pdf
            else if (n == JOptionPane.NO_OPTION) {
                sound_button.playsound();
                save_file save_file = new save_file();
                save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
            }
            // cancel
            else {
                sound_button.playsound();
            }
        }
        if (result_textarea.getText().length() > 0) {
            //write file name and choose directory
            save_filename = JOptionPane.showInputDialog(""Write New File Name"");
            savefile = new JFileChooser();
            savefile.setDialogTitle(""Choose Directory"");
            savefile.setSelectedFile(new File(save_filename));
            int sf = savefile.showSaveDialog(null);
            if (sf == JFileChooser.APPROVE_OPTION) {
                sound_button.playsound();
                // choose the file format
                try {
                    Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                    Object defaultChoice = choices[0];
                    int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                    // save as docx
                    if (n == JOptionPane.YES_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // save as pdf
                    else if (n == JOptionPane.NO_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // cancel
                    else {
                        sound_button.playsound();
                    }
                } catch (Exception ee) {
                    JOptionPane.showMessageDialog(null, ee);
                }
            } else {
                sound_button.playsound();
            }
        }
        // If there is no text in JTextArea. Warning Message .
        else{
            Object[] options = {""Ok""};
            int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
            if (n == JOptionPane.OK_OPTION) {
                sound_button.playsound();
            }
        }
    }",1
"public void CodeCheck(){
    if (n == JOptionPane.YES_OPTION) {
        sound_button.playsound();
        save_file save_file = new save_file();
        save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
    }
    else {
        sound_button.playsound();
    }
    for(int i=0;i<10;i++){
        System.out.println(i);
    }
    if (result_textarea.getText().length() > 0) {
        save_filename = JOptionPane.showInputDialog(""Write New File Name"");
        savefile = new JFileChooser();
        savefile.setDialogTitle(""Choose Directory"");
        savefile.setSelectedFile(new File(save_filename));
        int sf = savefile.showSaveDialog(null);
        if (sf == JFileChooser.APPROVE_OPTION) {
            sound_button.playsound();
            try {
                Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                Object defaultChoice = choices[0];
                int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                if (n == JOptionPane.YES_OPTION) {
                    sound_button.playsound();
                    save_file save_file = new save_file();
                    save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
                }
                else if (n == JOptionPane.NO_OPTION) {
                    sound_button.playsound();
                    save_file save_file = new save_file();
                    save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                }
                else if (n == JOptionPane.NO_OPTION) {
                    sound_button.playsound();
                    save_file save_file = new save_file();
                    save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                }
                else {
                    sound_button.playsound();
                }
            } catch (Exception ee) {
                JOptionPane.showMessageDialog(null, ee);
            }
        } else {
            sound_button.playsound();
        }
    }
    else {
        Object[] options = {""Ok""};
        int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
        if (n == JOptionPane.OK_OPTION) {
            sound_button.playsound();
        }
    }
}",0
"public void CodeCheck(){
    if (n == JOptionPane.YES_OPTION) {
        sound_button.playsound();
        save_file save_file = new save_file();
        save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
    }
    else {
        sound_button.playsound();
    }
    for(int i=0;i<10;i++){
        System.out.println(i);
    }
    if (result_textarea.getText().length() > 0) {
        save_filename = JOptionPane.showInputDialog(""Write New File Name"");
        savefile = new JFileChooser();
        savefile.setDialogTitle(""Choose Directory"");
        savefile.setSelectedFile(new File(save_filename));
        int sf = savefile.showSaveDialog(null);
        if (sf == JFileChooser.APPROVE_OPTION) {
            sound_button.playsound();
            try {
                Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                Object defaultChoice = choices[0];
                int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                if (n == JOptionPane.YES_OPTION) {
                    sound_button.playsound();
                    save_file save_file = new save_file();
                    save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
                }
                else if (n == JOptionPane.NO_OPTION) {
                    sound_button.playsound();
                    save_file save_file = new save_file();
                    save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                }
                else {
                    sound_button.playsound();
                }
            } catch (Exception ee) {
                JOptionPane.showMessageDialog(null, ee);
            }
        } else {
            sound_button.playsound();
        }
    }
    else {
        Object[] options = {""Ok""};
        int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
        if (n == JOptionPane.OK_OPTION) {
            sound_button.playsound();
        }
    }
}",0
"public void LoanCalculator(){
        if (display.getText().isEmpty()) {
            JOptionPane.showMessageDialog(null, ""Enter value"");

        }
        else {

            if(checkDisplay()==true)
            {
                JOptionPane.showMessageDialog(null,""your input is invalid"");
                display.setText("""");
                result.setText("""");
                result.setEnabled(false);

            }

            else{

                try {

                    int from_value = combo1.getSelectedIndex();
                    int to_value = combo2.getSelectedIndex();
                    double output;
                    double xyz = Double.parseDouble(display.getText());
                    if (from_value == 0) {
                        if (to_value == 0) {
                            output = (xyz * 1);
                            result.setText("""" + output + ""  Inch"");
                        }
                        if (to_value == 1) {
                            output = (xyz * 0.08333);
                            result.setText("""" + output + ""  Foot"");

                        }
                        if (to_value == 2) {
                            output = (xyz * .00001578282);
                            result.setText("""" + output + ""  Mile"");
                        }
                        if (to_value == 3) {
                            output = (xyz * 2.54);
                            result.setText("""" + output + ""  Centimeter"");
                        }
                        if (to_value == 4) {
                            output = (xyz * .0254);
                            result.setText("""" + output + ""  Meter"");
                        }
                        if (to_value == 5) {
                            output = (xyz * 0.0000254);
                            result.setText("""" + output + ""  Kilometer"");
                        }
                    }
                    else if (from_value == 1) {
                        if (to_value == 0) {
                            output = (xyz * 12);
                            result.setText("""" + output + ""  Inch"");
                        }
                        if (to_value == 1) {
                            output = (xyz * 1);
                            result.setText("""" + output + ""  Foot"");
                        }
                        if (to_value == 2) {
                            output = (xyz * 0.000189393939);
                            result.setText("""" + output + ""  Mile"");
                        }
                        if (to_value == 3) {
                            output = (xyz * 30.48);
                            result.setText("""" + output + ""  Centimeter"");
                        }
                        if (to_value == 4) {
                            output = (xyz * 0.3048);
                            result.setText("""" + output + ""  Meter"");
                        }
                        if (to_value == 5) {
                            output = (xyz * 0.0003048);
                            result.setText("""" + output + ""  Kilometer"");
                        }
                    }
                    else if (from_value == 2) {
                        if (to_value == 0) {
                            output = (xyz * 63364);
                            result.setText("""" + output + ""  Inch"");
                        }
                        if (to_value == 1) {
                            output = (xyz * 5280);
                            result.setText("""" + output + ""  Foot"");
                        }
                        if (to_value == 2) {
                            output = (xyz * 1);
                            result.setText("""" + output + ""  Mile"");
                        }
                        if (to_value == 3) {
                            output = (xyz * 160934.4);
                            result.setText("""" + output + ""  Centimeter"");

                        }
                        if (to_value == 4) {
                            output = (xyz * 1609.344);
                            result.setText("""" + output + ""  Meter"");
                        }
                        if (to_value == 5) {
                            output = (xyz * 1.609344);
                            result.setText("""" + output + ""  Kilometer"");
                        }
                    }
                    else if (from_value == 3) {
                        if (to_value == 0) {
                            output = (xyz * 0.393700787);
                            result.setText("""" + output + ""  Inch"");
                        }
                        if (to_value == 1) {
                            output = (xyz * 0.032808399);
                            result.setText("""" + output + ""  Foot"");
                        }
                        if (to_value == 2) {
                            output = (xyz * 0.000006214);
                            result.setText("""" + output + ""  Mile"");
                        }
                        if (to_value == 3) {
                            output = (xyz * 1);
                            result.setText("""" + output + ""  Centimeter"");
                        }
                        if (to_value == 4) {
                            output = (xyz * 0.01);
                            result.setText("""" + output + ""  Meter"");
                        }
                        if (to_value == 5) {
                            output = (xyz * 0.0001);
                            result.setText("""" + output + ""  Kilometer"");
                        }
                    }
                    else if (from_value == 4) {
                        if (to_value == 0) {
                            output = (xyz * 39.3700787);
                            result.setText("""" + output + ""  Inch"");
                        }
                        if (to_value == 1) {
                            output = (xyz * 3.2808399);
                            result.setText("""" + output + ""  Foot"");
                        }
                        if (to_value == 2) {
                            output = (xyz * 0.0006214);
                            result.setText("""" + output + ""  Mile"");
                        }
                        if (to_value == 3) {
                            output = (xyz * 100);
                            result.setText("""" + output + ""  Centimeter"");
                        }
                        if (to_value == 4) {
                            output = (xyz * 1);
                            result.setText("""" + output + ""  Meter"");
                        }
                        if (to_value == 5) {
                            output = (xyz * 0.001);
                            result.setText("""" + output + ""  Kilometer"");
                        }
                    }
                    else if (from_value == 5) {
                        if (to_value == 0) {
                            output = (xyz * 39370.0787);
                            result.setText("""" + output + ""  Inch"");
                        }
                        if (to_value == 1) {
                            output = (xyz * 3280.8399);
                            result.setText("""" + output + ""  Foot"");
                        }
                        if (to_value == 2) {
                            output = (xyz * 0.6214);
                            result.setText("""" + output + ""  Mile"");
                        }
                        if (to_value == 3) {
                            output = (xyz * 10000);
                            result.setText("""" + output + ""  Centimeter"");
                        }
                        if (to_value == 4) {
                            output = (xyz * 1000);
                            result.setText("""" + output + ""  Meter"");
                        }
                        if (to_value == 5) {
                            output = (xyz * 1);
                            result.setText("""" + output + ""  Kilometer"");
                        }
                    }
                    result.setEditable(false);
                    result.setDisabledTextColor(Color.BLACK);
                    result.setEnabled(true);
                }
                catch (Exception x) {

                    JOptionPane.showMessageDialog(null, ""your input is not valid"");
                    display.setText("""");
                    result.setText("""");
                    result.setEnabled(false);
                }
            }
        }
    
    }",1
"public void analyzeData() {
    int x = 10, y = 20, z = 30;
    boolean condition1 = true, condition2 = false;

    if (x > y) { // +1
        System.out.println(""x > y"");
    } else if (y > z) { // +1
        System.out.println(""y > z"");
    } else if (z > x) { // +1
        System.out.println(""z > x"");
    } else {
        System.out.println(""None of the above"");
    }

    switch (x) { 
        case 10: // +1
            System.out.println(""x is 10"");
            break;
        case 20: // +1
            System.out.println(""x is 20"");
            break;
        default: // +1
            System.out.println(""x is something else"");
    }

    if (condition1 && condition2) { // +1
        System.out.println(""Both conditions are true"");
    } else if (condition1 || condition2) { // +1
        System.out.println(""One of the conditions is true"");
    } else {
        System.out.println(""Both conditions are false"");
    }

    for (int i = 0; i < 5; i++) { // +1
        System.out.println(""Iteration: "" + i);
    }
}
",0
"public void evaluateConditions() {
    int a = 5, b = 10, c = 15;

    if (a > b) { // +1
        System.out.println(""a is greater than b"");
    } else if (b > c) { // +1
        System.out.println(""b is greater than c"");
    } else if (c > a) { // +1
        System.out.println(""c is greater than a"");
    } else if (b > a) { // +1
        System.out.println(""b is greater than a"");
    }else if (c = a) { // +1
        System.out.println(""c is equal a"");
    } else {
        System.out.println(""None of the above"");
    }

    switch (a) {
        case 5: // +1
            System.out.println(""a is 5"");
            break;
        case 10: // +1
            System.out.println(""a is 10"");
            break;
        default: // +1
            System.out.println(""a is something else"");
            break;
    }

    for (int i = 0; i < 5; i++) { // +1
        if (i % 2 == 0) { // +1
            System.out.println(i + "" is even"");
        } else { 
            System.out.println(i + "" is odd"");
        }
    }

    if (b < c && c > a) { // +1
        System.out.println(""b < c and c > a"");
    }
}",0
"public void sendEmail(String sender, String recipient, String subject, String body, 
                          boolean isHTML, boolean includeAttachments, boolean isUrgent) {
        
        String emailContent = ""From: "" + sender + ""\n"" +
                              ""To: "" + recipient + ""\n"" +
                              ""Subject: "" + subject + ""\n"" +
                              ""Body: "" + body + ""\n"" +
                              ""HTML: "" + isHTML + ""\n"" +
                              ""Include Attachments: "" + includeAttachments + ""\n"" +
                              ""Urgent: "" + isUrgent;
        emailStorage.put(recipient, emailContent);
        System.out.println(""Email sent successfully to "" + recipient);
    }",0
"public Object[] sort(String[] FILENAME3, String[] FILENAME4, float[] matching_line_number, float[] result, int result_counter) throws IOException {
        for (p = 0; p < result_counter; p++) {
            for (q = p + 1; q < result_counter; q++) {
                if (result[p] < result[q]) {

                    temp = result[q];
                    result[q] = result[p];
                    result[p] = temp;

                    temp = matching_line_number[q];
                    matching_line_number[q] = matching_line_number[p];
                    matching_line_number[p] = temp;

                    string_temp1 = FILENAME3[q];
                    FILENAME3[q] = FILENAME3[p];
                    FILENAME3[p] = string_temp1;

                    string_temp2 = FILENAME4[q];
                    FILENAME4[q] = FILENAME4[p];
                    FILENAME4[p] = string_temp2;
                }
            }
        }
        return new Object[] {FILENAME3,FILENAME4,matching_line_number,result,result_counter};
    }",0
"public void CodeCheck(){
        if (n == JOptionPane.YES_OPTION) {
            sound_button.playsound();
            save_file save_file = new save_file();
            save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
        }
        if (n == JOptionPane.YES_OPTION) {
            sound_button.playsound();
            save_file save_file = new save_file();
            save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
        }
        // save as pdf
        else if (n == JOptionPane.NO_OPTION){
            sound_button.playsound();
        }
        else if (n == JOptionPane.YES_OPTION) {
            sound_button.playsound();
            save_file save_file = new save_file();
            save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
        }
        else {
            sound_button.playsound();
            save_file save_file = new save_file();
            save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
        }
        for(int i=0;i<10;i++){
            System.out.println(i);
        }
        if (result_textarea.getText().length() > 0) {
            //write file name and choose directory
            save_filename = JOptionPane.showInputDialog(""Write New File Name"");
            savefile = new JFileChooser();
            savefile.setDialogTitle(""Choose Directory"");
            savefile.setSelectedFile(new File(save_filename));
            int sf = savefile.showSaveDialog(null);
            if (sf == JFileChooser.APPROVE_OPTION) {
                sound_button.playsound();
                // choose the file format
                try {
                    Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                    Object defaultChoice = choices[0];
                    int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                    // save as docx
                    if (n == JOptionPane.YES_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // save as pdf
                    else if (n == JOptionPane.NO_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // cancel
                    else {
                        sound_button.playsound();
                    }
                } catch (Exception ee) {
                    JOptionPane.showMessageDialog(null, ee);
                }
            } else {
                sound_button.playsound();
            }
        }
        // If there is no text in JTextArea. Warning Message .
        else{
            Object[] options = {""Ok""};
            int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
            if (n == JOptionPane.OK_OPTION) {
                sound_button.playsound();
            }
            if (n == JOptionPane.YES_OPTION) {
                sound_button.playsound();
                save_file save_file = new save_file();
                save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
            }
            // save as pdf
            else if (n == JOptionPane.NO_OPTION) {
                sound_button.playsound();
                save_file save_file = new save_file();
                save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
            }
            // cancel
            else {
                sound_button.playsound();
            }
        }
        if (result_textarea.getText().length() > 0) {
            //write file name and choose directory
            save_filename = JOptionPane.showInputDialog(""Write New File Name"");
            savefile = new JFileChooser();
            savefile.setDialogTitle(""Choose Directory"");
            savefile.setSelectedFile(new File(save_filename));
            int sf = savefile.showSaveDialog(null);
            if (sf == JFileChooser.APPROVE_OPTION) {
                sound_button.playsound();
                // choose the file format
                try {
                    Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                    Object defaultChoice = choices[0];
                    int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                    // save as docx
                    if (n == JOptionPane.YES_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_docx(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // save as pdf
                    else if (n == JOptionPane.NO_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_pdf(savefile.getSelectedFile(),result_textarea.getText());
                    }
                    // cancel
                    else {
                        sound_button.playsound();
                    }
                } catch (Exception ee) {
                    JOptionPane.showMessageDialog(null, ee);
                }
            } else {
                sound_button.playsound();
            }
        }
        // If there is no text in JTextArea. Warning Message .
        else{
            Object[] options = {""Ok""};
            int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
            if (n == JOptionPane.OK_OPTION) {
                sound_button.playsound();
            }
        }
    }",1
"public void word(JButton save_button){
        XWPFDocument Stored_Docx = new XWPFDocument(new FileInputStream(F1));
        XWPFWordExtractor Stored_Text = new XWPFWordExtractor(Stored_Docx);
        String Stored_String = Stored_Text.getText();
        String[] Stored_Sentence = Stored_String.split(""[\\s]*[.][\\s]*"");
        String[] Stored_Word = null;

        //Split the stored sentence into words
        highlight_text highlight_text = new highlight_text();
        for (int yy = 0; yy < Stored_Sentence.length; yy++) {
            Stored_Word = Stored_Sentence[yy].toLowerCase().split(""\\s+"");
        }

        sound_button.playsound();
        error_counter=0;
        Highlighter hilite = text.getHighlighter();
        hilite.removeAllHighlights();

        String input_string = text.getText();
        //split the text into sentences
        String[] input_sentence = input_string.split(""[\\s]*[-.,!?:)\""][\\s]*"");

        for (i = 0; i < input_sentence.length; i++) {
            //Split the sentences into words
            String[] input_word = input_sentence[i].toLowerCase().split(""\\s+"");

            for ( kk = 0; kk < input_word.length; kk++) {
                //split the words into char
                char[] chars = input_word[kk].toLowerCase().toCharArray();

                for (int k = 0; k < chars.length; k++) {
                    //Looking for first char of the word
                        for (int aa = 0; aa < Alphabet.length; aa++) {
                            if (chars[0] == Alphabet[aa]) {
                                alphabet = Alphabet[aa];
                                //path of stored_word files
                                F1 = new File(""Words\\"" + Alphabet[aa] + "".docx"");
                                Given_Word = input_word[kk];
                                check_Correct_word(save_button);
                            }

                    }
                }
            }
        }
        //if any error remaining in Jtextarea disable save button
        if(error_counter==0) {save_button.setEnabled(true);}
        text.setEditable(true);

        sound_button.playsound();

        //Checking whether the text is not empty or not
        if (text.getText().length() > 0) {

            save_filename = JOptionPane.showInputDialog(""Write New File Name"");
            savefile = new JFileChooser();
            savefile.setDialogTitle(""Choose Directory"");
            savefile.setSelectedFile(new File(save_filename));

            int sf = savefile.showSaveDialog(null);
            if (sf == JFileChooser.APPROVE_OPTION) {
                sound_button.playsound();

                try {
                    Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                    Object defaultChoice = choices[0];
                    int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);

                    //Save file as docx
                    if (n == JOptionPane.YES_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_docx(savefile.getSelectedFile(),text.getText());
                    }

                    //Save file as pdf
                    else if (n == JOptionPane.NO_OPTION) {
                        sound_button.playsound();
                        save_file save_file = new save_file();
                        save_file.save_as_pdf(savefile.getSelectedFile(),text.getText());

                    } else {
                        sound_button.playsound();
                    }
                } catch (Exception ee) {
                    JOptionPane.showMessageDialog(null, ee);
                }
            } else {

                sound_button.playsound();
            }
        }
        else{
            Object[] options = {""Ok""};
            int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
            if (n == JOptionPane.OK_OPTION) {
                sound_button.playsound();
            }
        }
        
    }",0
