Code,Smell
"public double calculateTotalBill(double basePrice, double taxRate, double discountPercentage, 
                                      boolean isTaxExempt, boolean isDiscountApplied, boolean isFreeShipping) {
      
        return basePrice * (1 + taxRate / 100) * (1 - discountPercentage / 100);
    }",1
"public void addProduct(String name, String description, double price, int quantity, 
                           String category, boolean isFeatured, boolean isOnSale, boolean isNewArrival) {
        
        System.out.println(""Product added successfully:"");
        System.out.println(""Name: "" + name);
        System.out.println(""Description: "" + description);
        System.out.println(""Price: $"" + price);
        System.out.println(""Quantity: "" + quantity);
        System.out.println(""Category: "" + category);
        System.out.println(""Featured: "" + isFeatured);
        System.out.println(""On Sale: "" + isOnSale);
        System.out.println(""New Arrival: "" + isNewArrival);
    }
    ",1
"public void addSevenNumber(int number1, int number2, int number3, int number4, int number5, int number6, int number7){ 
 return (num1+num2+num3+num4+num5+num6+num7);
}",1
"public void Product(String name, String description, double price, int quantity, 
                   String category, boolean isFeatured, boolean isOnSale, boolean isNewArrival) {
        this.name = name;
        this.description = description;
        this.price = price;
        this.quantity = quantity;
        this.category = category;
        this.isFeatured = isFeatured;
        this.isOnSale = isOnSale;
        this.isNewArrival = isNewArrival;
    }",1
"public void sendEmail(String sender, String recipient, String subject, String body, 
                          boolean isHTML, boolean includeAttachments, boolean isUrgent) {
        
        String emailContent = ""From: "" + sender + ""\n"" +
                              ""To: "" + recipient + ""\n"" +
                              ""Subject: "" + subject + ""\n"" +
                              ""Body: "" + body + ""\n"" +
                              ""HTML: "" + isHTML + ""\n"" +
                              ""Include Attachments: "" + includeAttachments + ""\n"" +
                              ""Urgent: "" + isUrgent;
        emailStorage.put(recipient, emailContent);
        System.out.println(""Email sent successfully to "" + recipient);
    }",1
"public Object[] sort(String[] FILENAME3, String[] FILENAME4, float[] matching_line_number, float[] result, int result_counter) throws IOException {
        for (p = 0; p < result_counter; p++) {
            for (q = p + 1; q < result_counter; q++) {
                if (result[p] < result[q]) {

                    temp = result[q];
                    result[q] = result[p];
                    result[p] = temp;

                    temp = matching_line_number[q];
                    matching_line_number[q] = matching_line_number[p];
                    matching_line_number[p] = temp;

                    string_temp1 = FILENAME3[q];
                    FILENAME3[q] = FILENAME3[p];
                    FILENAME3[p] = string_temp1;

                    string_temp2 = FILENAME4[q];
                    FILENAME4[q] = FILENAME4[p];
                    FILENAME4[p] = string_temp2;
                }
            }
        }
        return new Object[] {FILENAME3,FILENAME4,matching_line_number,result,result_counter};
    }",1
"public void processOrder(String customerName, String customerAddress, String customerEmail, String productName, int quantity, double price, boolean isExpressShipping) {

    double totalPrice = quantity * price;

    System.out.println(""Order processed for "" + customerName + "" at "" + customerAddress + "". Total price: "" + totalPrice);
}
",1
"public void generateReport(String dataSource, String reportType, Date startDate, Date endDate, boolean includeSubtotals, boolean includeDetails, String fileFormat, String outputPath) {
    List<ReportData> reportData = fetchDataFromSource(dataSource);
    ReportContent reportContent = processReportData(reportData, reportType, startDate, endDate, includeSubtotals, includeDetails);
    saveReport(reportContent, fileFormat, outputPath);
}
",1
"public void createUser(String firstName, String lastName, String username, String password, String email, LocalDate dateOfBirth, String address, String city, String state, String country, String postalCode, String phoneNumber) {
    User newUser = new User(firstName, lastName, username, password, email, dateOfBirth, address, city, state, country, postalCode, phoneNumber);
    userService.createUser(newUser);
}
",1
"public static void sortNumbers(int num1, int num2, int num3, int num4, int num5, int num6, int num7) {
        int[] numbers = {num1, num2, num3, num4, num5, num6, num7};
        Arrays.sort(numbers);
        num1 = numbers[0];
        num2 = numbers[1];
        num3 = numbers[2];
        num4 = numbers[3];
        num5 = numbers[4];
        num6 = numbers[5];
        num7 = numbers[6];
    }",1
"public boolean isHappy(int number) {
        
        int sum=0;
        while(number!=1 && number!=4)
        {
           
            while(number>0)
            {
                int rem=number%10;
                sum+=(rem*rem);
                number=number/10;
                
            }
            number=sum;
            sum=0;
        }
        if(number==1)
            return true;
        return false;
    }",0
"public boolean isHappy(int number) {
        Set<Integer> seen = new HashSet<>();
        while (number != 1) {
            int sum = 0;
            while (number > 0) {
                int digit = number % 10;
                sum += digit * digit;
                number /= 10;
            }
            if (seen.contains(sum)) {
                return false; 
            }
            seen.add(sum);
            number = sum;
        }
        return true;
    }",0
