Code,Smell
"import javax.swing.*;
import java.awt.*;
import java.awt.event.*;
import java.io.File;
import java.io.IOException;

public class Capitalization extends Panel_BackButton_Template {

    private JButton file_read_button, file_check_button;
    private JTextArea text, result_textarea;
    private JScrollPane read_scrolltext1, result_scrolltext;
    private ImageIcon file_read_img, file_check_img, save_button_img;

    String FileExtension;
    String extension;
    File file;
    String save_filename;
    JFileChooser savefile;
    ButtonSound sound_button = new ButtonSound();

    Capitalization() throws IOException {
        App_Icon();
        super.frame();
        super.setContainer();
        super.setTitle(""Capitalization"");
        super.setPanel();
        super.BackButton();

        file_read_img = new ImageIcon(getClass().getResource(""Picture//ReadFile2.png""));
        file_read_button = new JButton(file_read_img);
        file_read_button.setBackground(new Color(28, 73, 102));
        file_read_button.setBorder(null);
        file_read_button.setBounds(40, 19, file_read_img.getIconWidth(), file_read_img.getIconHeight());
        jpanel.add(file_read_button);

        file_check_img = new ImageIcon(getClass().getResource(""Picture//Check.png""));
        file_check_button = new JButton(file_check_img);
        file_check_button.setBackground(new Color(28, 73, 102));
        file_check_button.setBorder(null);
        file_check_button.setBounds(482, 295, file_check_img.getIconWidth(), file_check_img.getIconHeight());
        jpanel.add(file_check_button);

        save_button_img = new ImageIcon(getClass().getResource(""Picture//Save_button.png""));
        JButton save_button = new JButton(save_button_img);
        save_button.setBackground(new Color(28, 73, 102));
        save_button.setBorder(null);
        save_button.setBounds(485, 575, save_button_img.getIconWidth(), save_button_img.getIconHeight());
        jpanel.add(save_button);

        text = new JTextArea();
        text.setLineWrap(true);
        text.setWrapStyleWord(true);
        text.setEditable(false);
        text.setBorder(BorderFactory.createLineBorder(new Color(0, 0, 0, 255)));
        text.setFont(new Font(""Times new Roman"", Font.BOLD, 16));
        jpanel.add(text);

        read_scrolltext1 = new JScrollPane(text, JScrollPane.VERTICAL_SCROLLBAR_AS_NEEDED, JScrollPane.HORIZONTAL_SCROLLBAR_NEVER);
        read_scrolltext1.setBounds(40, 53, 540, 230);
        jpanel.add(read_scrolltext1);

        result_textarea = new JTextArea();
        result_textarea.setLineWrap(true);
        result_textarea.setWrapStyleWord(true);
        result_textarea.setEditable(false);
        result_textarea.setBorder(BorderFactory.createLineBorder(new Color(0, 0, 0, 255)));
        result_textarea.setFont(new Font(""Times new Roman"", Font.BOLD, 16));
        jpanel.add(result_textarea);

        result_scrolltext = new JScrollPane(result_textarea, JScrollPane.VERTICAL_SCROLLBAR_AS_NEEDED, JScrollPane.HORIZONTAL_SCROLLBAR_NEVER);
        result_scrolltext.setBounds(40, 335, 540, 230);
        jpanel.add(result_scrolltext);

        back_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent ea) {
                sound_button.playsound();
                dispose();
                Back_Button BB = new Back_Button();
                BB.backbutton();
            }
        });

        save_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent e) {
                sound_button.playsound();

                if (result_textarea.getText().length() > 0) {
                    save_filename = JOptionPane.showInputDialog(""Write New File Name"");
                    savefile = new JFileChooser();
                    savefile.setDialogTitle(""Choose Directory"");
                    savefile.setSelectedFile(new File(save_filename));
                    int sf = savefile.showSaveDialog(null);
                    if (sf == JFileChooser.APPROVE_OPTION) {
                        sound_button.playsound();

                        try {
                            Object[] choices = {""Docx"", ""Pdf"", ""Cancel""};
                            Object defaultChoice = choices[0];
                            int n = JOptionPane.showOptionDialog(null, ""Select Format"", ""Format Choice"", JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                            if (n == JOptionPane.YES_OPTION) {
                                sound_button.playsound();
                                save_file save_file = new save_file();
                                save_file.save_as_docx(savefile.getSelectedFile(), result_textarea.getText());
                            } else if (n == JOptionPane.NO_OPTION) {
                                sound_button.playsound();
                                save_file save_file = new save_file();
                                save_file.save_as_pdf(savefile.getSelectedFile(), result_textarea.getText());
                            } else {
                                sound_button.playsound();
                            }
                        } catch (Exception ee) {
                            JOptionPane.showMessageDialog(null, ee);
                        }
                    } else {
                        sound_button.playsound();
                    }
                } else {
                    Object[] options = {""Ok""};
                    int n = JOptionPane.showOptionDialog(null, ""There is no text to save"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
                    if (n == JOptionPane.OK_OPTION) {
                        sound_button.playsound();
                    }
                }
            }
        });

        file_read_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent ea) {
                file_read file_read = new file_read();
                file_read.fileRead(sound_button, file_read_button, text);
            }
        });

        file_check_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent ea) {
                sound_button.playsound();
                String str = text.getText() + "" "";

                // Check whether the file is empty or not
                if (str.length() == 0) {
                    Object[] options = {""Ok""};
                    int n = JOptionPane.showOptionDialog(null, ""Nothing to Check"", ""Warning"", JOptionPane.OK_OPTION, JOptionPane.NO_OPTION, null, options, options[0]);
                    if (n == JOptionPane.OK_OPTION) {
                        sound_button.playsound();
                    }
                }

                String s = capitalize(str);

                // Showing the capitalized string in text area
                result_textarea.setText(s);
            }
        });
    }

    private String capitalize(String str) {
        if (str != null && str.length() != 0) {
            return getCapitalizeString(str);
        } else {
            return str;
        }
    }

    private String getCapitalizeString(String str) {
        // At first we will make the string as lower case
        char[] new_chars = str.replaceAll(""[,.!?;:]"", ""$0"").toLowerCase().toCharArray();

        // Passing the lower case string to a function for proper capitalization
        return new String(handleCharsArray(new_chars));
    }

    private char[] handleCharsArray(char[] chars) {
        // Making first character as uppercase
        chars[0] = Character.toUpperCase(chars[0]);

        // Iterating through until the second last character
        for (int i = 0; i < chars.length - 1; i++) {
            // Check if the character is (!), (?), (.), or (:) because after these characters any character must be in uppercase
            if ((chars[i] == '!') || (chars[i] == '?') || (chars[i] == '.') || (chars[i] == ':')) {
                // After various conditions, the next letter will be in uppercase
                if ((i < chars.length - 5) && (chars[i + 1] == '\n') && (chars[i + 2] == '\n') && (chars[i + 3] == '\n') && (chars[i + 4] == '\n') && (chars[i + 5] != ' ' && chars[i + 5] != '\n')) {
                    i += 5;
                    chars[i] = Character.toUpperCase(chars[i]);
                } else if ((i < chars.length - 4) && (chars[i + 1] == '\n') && (chars[i + 2] == '\n') && (chars[i + 3] == '\n') && (chars[i + 4] != ' ' && chars[i + 4] != '\n')) {
                    i += 4;
                    chars[i] = Character.toUpperCase(chars[i]);
                } else if ((i < chars.length - 3) && (chars[i + 1] == '\n') && (chars[i + 2] == '\n') && (chars[i + 3] != ' ' && chars[i + 3] != '\n')) {
                    i += 3;
                    chars[i] = Character.toUpperCase(chars[i]);
                } else if ((i < chars.length - 5) && (chars[i + 1] == ' ') && (chars[i + 2] == ' ') && (chars[i + 3] == ' ') && (chars[i + 4] == ' ') && (chars[i + 5] != '\n' && chars[i + 5] != ' ')) {
                    i += 5;
                    chars[i] = Character.toUpperCase(chars[i]);
                } else if ((i < chars.length - 4) && (chars[i + 1] == ' ') && (chars[i + 2] == ' ') && (chars[i + 3] == ' ') && (chars[i + 4] != '\n' && chars[i + 4] != ' ')) {
                    i += 4;
                    chars[i] = Character.toUpperCase(chars[i]);
                } else if ((i < chars.length - 3) && (chars[i + 1] == ' ') && (chars[i + 2] == ' ') && (chars[i + 3] != '\n' && chars[i + 3] != ' ')) {
                    i += 3;
                    chars[i] = Character.toUpperCase(chars[i]);
                } else if ((i < chars.length - 1) && (chars[i + 1] != ' ' && chars[i + 1] != '\n')) {
                    chars[i + 1] = Character.toUpperCase(chars[i + 1]);
                }
            }
        }
        return chars;
    }

    public static void main(String[] args) throws IOException {
        new Capitalization();
    }
}
",1
"public class Car {
    private String make;
    private String model;
    private int year;
    private String color;
    private boolean isRunning;
    private boolean isParked;

    public Car(String make, String model, int year, String color) {
        this.make = make;
        this.model = model;
        this.year = year;
        this.color = color;
        this.isRunning = false;
        this.isParked = true;
    }

    public void start() {
        if (isParked) {
            isRunning = true;
            isParked = false;
            System.out.println(""The car has started."");
        } else {
            System.out.println(""You can't start the car while it's already running or not parked."");
        }
    }

    public void stop() {
        if (isRunning) {
            isRunning = false;
            isParked = true;
            System.out.println(""The car has stopped."");
        } else {
            System.out.println(""You can't stop the car while it's not running or already parked."");
        }
    }

    public void accelerate(int speed) {
        if (isRunning && !isParked) {
            System.out.println(""The car is accelerating to "" + speed + "" mph."");
        } else {
            System.out.println(""You can't accelerate while the car is not running or parked."");
        }
    }

    public void brake() {
        if (isRunning && !isParked) {
            System.out.println(""The car is braking."");
        } else {
            System.out.println(""You can't brake while the car is not running or parked."");
        }
    }

    public void paint(String newColor) {
        color = newColor;
        System.out.println(""The car has been painted "" + newColor + ""."");
    }

    public void tuneUp() {
        System.out.println(""The car has had a tune-up."");
    }

    public void repairEngine() {
        System.out.println(""The engine has been repaired."");
    }

    public void replaceTires() {
        System.out.println(""The tires have been replaced."");
    }
}
",0
"import javax.swing.*;
import java.awt.*;
import java.awt.event.*;
import java.io.File;
import java.io.FileOutputStream;
import java.io.FileNotFoundException;
import java.io.IOException;
import java.io.PrintStream;
import java.util.Scanner;

public class Home extends JFrame {

    public static int volume_icon_variable = 1;
    int value_of_text_file;
    private Container container;
    private ImageIcon duplicity_img, capitalization_img, spell_img, aboutus_img, guideline_img, volumeON_img, volumeOFF_img;
    ButtonSound sound_button = new ButtonSound();

    // New attribute
    private int buttonClickCount = 0;

    public Home() throws IOException {

        App_Icon();

        this.setDefaultCloseOperation(JFrame.DISPOSE_ON_CLOSE);
        this.setBounds(350, 25, 650, 680);
        this.setTitle(""Duplicity Checker"");
        this.setResizable(false);

        container = this.getContentPane();
        container.setLayout(null);
        container.setBackground(new Color(255, 255, 255, 255));

        JLabel image = new JLabel(new ImageIcon(getClass().getResource(""Picture//home_img.jpg"")));
        image.setBounds(135, 0, 400, 400);
        container.add(image);

        volumeON_img = new ImageIcon(getClass().getResource(""Picture//off1.png""));
        JButton volume_on_button = new JButton(volumeON_img);
        volume_on_button.setBackground(new Color(255, 255, 255, 255));
        volume_on_button.setBorder(null);
        volume_on_button.setBounds(565, 20, volumeON_img.getIconWidth(), volumeON_img.getIconHeight());
        container.add(volume_on_button);

        volumeOFF_img = new ImageIcon(getClass().getResource(""Picture//on1.png""));
        JButton volume_off_button = new JButton(volumeOFF_img);
        volume_off_button.setBackground(new Color(255, 255, 255, 255));
        volume_off_button.setBorder(null);
        volume_off_button.setBounds(585, 28, volumeOFF_img.getIconWidth(), volumeOFF_img.getIconHeight());

        Font f = new Font(""Calibri"", Font.BOLD, 20);

        duplicity_img = new ImageIcon(getClass().getResource(""Picture//Duplicity_image.png""));
        JButton duplicity_button = new JButton(duplicity_img);
        duplicity_button.setBackground(new Color(255, 255, 255, 255));
        duplicity_button.setBorder(null);
        duplicity_button.setBounds(200, 400, duplicity_img.getIconWidth(), duplicity_img.getIconHeight());
        container.add(duplicity_button);

        capitalization_img = new ImageIcon(getClass().getResource(""Picture//Capitalization_image.png""));
        JButton capitalization_button = new JButton(capitalization_img);
        capitalization_button.setBackground(new Color(255, 255, 255, 255));
        capitalization_button.setBorder(null);
        capitalization_button.setBounds(55, 465, capitalization_img.getIconWidth(), capitalization_img.getIconHeight());
        container.add(capitalization_button);

        spell_img = new ImageIcon(getClass().getResource(""Picture//spell_check_image.png""));
        JButton spell_button = new JButton(spell_img);
        spell_button.setBackground(new Color(255, 255, 255, 255));
        spell_button.setBorder(null);
        spell_button.setBounds(350, 465, spell_img.getIconWidth(), spell_img.getIconHeight());
        container.add(spell_button);

        aboutus_img = new ImageIcon(getClass().getResource(""Picture//aboutus_image.png""));
        JButton aboutus_button = new JButton(aboutus_img);
        aboutus_button.setBackground(new Color(255, 255, 255, 255));
        aboutus_button.setBorder(null);
        aboutus_button.setBounds(55, 530, aboutus_img.getIconWidth(), aboutus_img.getIconHeight());
        container.add(aboutus_button);

        guideline_img = new ImageIcon(getClass().getResource(""Picture//Guideline_image.png""));
        JButton guide_button = new JButton(guideline_img);
        guide_button.setBackground(new Color(255, 255, 255, 255));
        guide_button.setBorder(null);
        guide_button.setBounds(350, 530, guideline_img.getIconWidth(), guideline_img.getIconHeight());
        container.add(guide_button);

        try {
            // On/Off button sound
            Scanner scanner = new Scanner(new File(""value3.txt""));
            while (scanner.hasNextInt()) {
                value_of_text_file = scanner.nextInt();
                if (value_of_text_file == 0) {
                    volume_on_button.setIcon(volumeOFF_img);
                    volume_icon_variable = 0;
                    sound_button.OFFvariable = 0;
                    sound_button.ONvariable = 1;
                } else {
                    volume_on_button.setIcon(volumeON_img);
                }
            }
        } catch (FileNotFoundException fileNotFoundException) {
            fileNotFoundException.printStackTrace();
        }

        duplicity_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent ea) {
                sound_button.playsound();
                buttonClickCount++; // Increment the click count
                try {
                    Object[] choices = {""Choose Randomly"", ""Select Folder"", ""Cancel""};
                    Object defaultChoice = choices[0];
                    int n = JOptionPane.showOptionDialog(null, ""How do you want to check?"", ""Confirmation"",
                            JOptionPane.YES_NO_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE, null, choices, defaultChoice);
                    if (n == JOptionPane.YES_OPTION) {
                        sound_button.playsound();
                        Duplicity_Random_File LF = new Duplicity_Random_File();
                        LF.setVisible(true);
                        dispose();
                    } else if (n == JOptionPane.NO_OPTION) {
                        sound_button.playsound();
                        Duplicity_Folder LF = new Duplicity_Folder();
                        LF.setVisible(true);
                        dispose();
                    } else {
                        sound_button.playsound();
                    }
                } catch (Exception e) {
                    JOptionPane.showMessageDialog(null, e);
                }
            }
        });

        capitalization_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent ea) {
                sound_button.playsound();
                Capitalization LF = null;
                try {
                    LF = new Capitalization();
                } catch (IOException e) {
                    e.printStackTrace();
                }
                LF.setVisible(true);
                dispose();
            }
        });

        spell_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent ea) {
                sound_button.playsound();
                Spell_Check LF = null;
                try {
                    LF = new Spell_Check();
                } catch (IOException e) {
                    e.printStackTrace();
                }
                LF.setVisible(true);
                dispose();
            }
        });

        aboutus_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent e) {
                sound_button.playsound();
                Aboutus aboutus = new Aboutus();
                aboutus.setVisible(true);
                dispose();
            }
        });

        guide_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent e) {
                sound_button.playsound();
                User_GuideLines guideLines = new User_GuideLines();
                guideLines.setVisible(true);
                dispose();
            }
        });

        volume_on_button.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent e) {
                sound_button.playsound();
                if (volume_icon_variable == 0) {
                    volume_on_button.setIcon(volumeON_img);
                    sound_button.ONvariable = 0;
                    sound_button.OFFvariable = 1;
                    volume_icon_variable = 1;
                } else {
                    volume_on_button.setIcon(volumeOFF_img);
                    sound_button.OFFvariable = 0;
                    sound_button.ONvariable = 1;
                    volume_icon_variable = 0;
                }

                try {
                    FileOutputStream fout = new FileOutputStream(""value3.txt"");
                    PrintStream pout = new PrintStream(fout);
                    int kk = volume_icon_variable;
                    pout.println(kk);
                    pout.close();
                    fout.close();
                } catch (FileNotFoundException fileNotFoundException) {
                    fileNotFoundException.printStackTrace();
                } catch (IOException ioException) {
                    ioException.printStackTrace();
                }
            }
        });
    }

    public void App_Icon() {
        ImageIcon logo = new ImageIcon(getClass().getResource(""Picture//icon.jpg""));
        this.setIconImage(logo.getImage());
    }

    public static void main(String[] args) throws IOException {
        Home hm = new Home();
        hm.setVisible(true);
    }
}
",1
"public class MathOperations {

    public int getSquare(int num) {
        return num * num;
    }

    public int getCube(int num) {
        return num * num * num;
    }
}",0
"import java.util.Map;

public class TaxAndTimeUtils {

    public static double calculateTax(double subtotal, String country, String state, Map<String, Double> taxRates) {
        double taxRate;
        if (""US"".equals(country)) {
            taxRate = taxRates.get(state);
        } else {
            taxRate = taxRates.get(country);
        }
        return subtotal + subtotal * taxRate;
    }

    public static String findTimeZone(String country, String state, Map<String, String> zones) {
        String timezone;
        if (""US"".equals(country)) {
            timezone = zones.get(state);
        } else {
            timezone = zones.get(country);
        }
        return timezone;
    }
}",0
"import java.util.Map;

public class DataProcessor {

    public void processData(Map<String, String> data) {
        String status = data.get(""status"");
        if (""pending"".equals(status)) {
            notifyUser(data.get(""user""));
            sendEmail(data.get(""user""), ""Your request is pending."");
        } else if (""approved"".equals(status)) {
            notifyUser(data.get(""user""));
            sendEmail(data.get(""user""), ""Your request has been approved."");
        }
    }

    private void notifyUser(String user) {
        // Implementation for notifying the user
    }

    private void sendEmail(String user, String message) {
        // Implementation for sending an email
    }
}",0
"import java.util.HashMap;

class Solution {

    public int[] twoSum(int[] nums, int target) {
        // Map to store the indices of elements
        HashMap<Integer, Integer> map = new HashMap<>();
        
        // Traverse the array
        for (int i = 0; i < nums.length; i++) {
            int complement = target - nums[i];
            
            // If the complement exists in the map, return the indices
            if (map.containsKey(complement)) {
                return new int[] { map.get(complement), i };
            }
            
            // Otherwise, put the current element and its index in the map
            map.put(nums[i], i);
        }
        
        // If no solution is found, return an empty array
        return new int[] {};
    }
}",0
"public class Solution {

    public int[] twoSum(int[] nums, int target) {
        int[] result = new int[2];
        
        for (int i = 0; i < nums.length; i++) {
            for (int j = i + 1; j < nums.length; j++) {
                if (nums[i] + nums[j] == target) {
                    result[0] = i;
                    result[1] = j;
                    return result; // Add this return statement to stop the search after finding the result
                }
            }
        }
        
        return result;
    }
}",0
"public class RectangleCalculator {

    public int calculateArea(int length, int width) {
        return length * width;
    }

    public int calculatePerimeter(int length, int width) {
        return 2 * (length + width);
    }
}",0
"public class ArrayStats {

    private static int[] array_a = {10, 20, 30, 40, 50};
    private static int[] array_b = {5, 15, 25, 35, 45};

    public static void main(String[] args) {
        int sum_a = 0;
        for (int i = 0; i < array_a.length; i++) {
            sum_a += array_a[i];
        }
        int average_a = sum_a / array_a.length;

        int sum_b = 0;
        for (int i = 0; i < array_b.length; i++) {
            sum_b += array_b[i];
        }
        int average_b = sum_b / array_b.length;

        System.out.println(""Average of array_a: "" + average_a);
        System.out.println(""Average of array_b: "" + average_b);
    }
}",0
